m,u,v,w,target
1.905261063889271,4.619827268942749,2.082912692507002,4.8819602714575465,47.16937253807968
1.7344153561558082,3.3704839153625263,2.1774139242749833,1.5525940622558045,16.053611121881314
3.3723113008392303,1.341925036402277,3.5415892887658362,4.216735678027767,54.166868868919586
2.4630864551110223,2.2702840387517047,2.456546262271285,2.774762240371423,23.261529673426576
4.820196212329892,2.793461794122042,1.8845201148318238,2.0066218028770773,37.07062497068165
3.0437226759332465,3.283051439609194,3.722321508952074,3.3803909572561537,54.880065718834246
3.767209517256617,4.7305830111750415,1.8292328472534174,4.478866780025722,86.24038440289891
2.5562041513237412,1.7715085734705873,4.818774545225731,1.85939205490304,38.10810819963985
3.5998080259242324,3.162523014546838,4.218501324306452,3.3687300215832767,70.45840748353363
4.3233168580186065,3.616298091835466,2.6135480432493314,3.217880529329226,65.41826982486309
4.969822873937588,4.984115169105039,4.600796021442812,2.838083869828862,134.3428805106528
1.6548571080104315,4.501420179281553,4.122129915126012,3.8241467244328464,42.9260309480165
3.5392673284703355,1.561211795687457,2.3058590658651172,3.970720793561509,41.62353912322877
1.770367815963426,2.1645720367242496,2.984108963821992,4.122130543213906,27.070905501285914
2.951473491715831,3.981637362048489,1.1576169023821454,4.626805491390852,56.964681005769265
3.650373218709893,4.046504749809054,2.653797250461759,1.9921019826152349,49.9833026490054
3.646959690266729,4.286807445517872,1.2676550955458397,4.037258229697313,66.16154082751204
2.823899353579105,4.0711032423240585,3.5738831210104864,3.3205267501310907,57.00382546995397
1.9493442865917232,1.8098734048248089,3.426107208002763,4.064387867694498,30.734435215659015
3.0014290876593885,1.2076081164411012,2.5491434396899497,2.588224736725847,21.993507285076486
1.4184654108009265,3.84802646621163,2.191329361692944,4.980167376441315,31.497945848952874
4.969161007928995,2.1281809955114825,3.3251533664848476,1.824505278730312,46.99489304186701
2.509660370272469,4.4745191432424285,1.5743630687054364,4.891159832208652,58.25346496932218
1.4789674082516537,3.9804436273541293,4.79234869158323,2.9567584830225058,35.16463765648733
2.1136313765134274,1.304649737451324,1.3754350421724757,4.545213469191773,25.63084306375677
2.5168273960130683,3.3679725958519797,3.833343239295216,3.9191668730947535,52.09534311648585
