mu,Nn,target
1.905261063889271,4.619827268942749,8.801977017410527
2.082912692507002,4.8819602714575465,10.168697013733851
1.7344153561558082,3.3704839153625263,5.8458190604809195
2.1774139242749833,1.5525940622558045,3.380639929902449
3.3723113008392303,1.341925036402277,4.525388965138494
3.5415892887658362,4.216735678027767,14.933945910859887
2.4630864551110223,2.2702840387517047,5.591905865104071
2.456546262271285,2.774762240371423,6.8163318102759165
4.820196212329892,2.793461794122042,13.465033959315331
1.8845201148318238,2.0066218028770773,3.7815191503819507
3.0437226759332465,3.283051439609194,9.992698112993793
3.722321508952074,3.3803909572561537,12.582901968861671
3.767209517256617,4.7305830111750415,17.82109734187108
1.8292328472534174,4.478866780025722,8.192890232495197
2.5562041513237412,1.7715085734705873,4.528337569611114
4.818774545225731,1.85939205490304,8.959991103761734
3.5998080259242324,3.162523014546838,11.384475729935806
4.218501324306452,3.3687300215832767,14.210992057279954
4.3233168580186065,3.616298091835466,15.634402504052789
2.6135480432493314,3.217880529329226,8.41008536083852
4.969822873937588,4.984115169105039,24.770169573757535
4.600796021442812,2.838083869828862,13.057444976829647
1.6548571080104315,4.501420179281553,7.4492071798256685
4.122129915126012,3.8241467244328464,15.763629612615784
3.5392673284703355,1.561211795687457,5.525545901299121
2.3058590658651172,3.970720793561509,9.155922539852938
1.770367815963426,2.1645720367242496,3.8320886691510143
2.984108963821992,4.122130543213906,12.300886704049034
2.951473491715831,3.981637362048489,11.751697127711465
1.1576169023821454,4.626805491390852,5.356068240868578
3.650373218709893,4.046504749809054,14.771252568085345
2.653797250461759,1.9921019826152349,5.286634764103729
3.646959690266729,4.286807445517872,15.633813953738965
1.2676550955458397,4.037258229697313,5.117850966910175
2.823899353579105,4.0711032423240585,11.496385814352708
3.5738831210104864,3.3205267501310907,11.86717450515731
1.9493442865917232,1.8098734048248089,3.52806638114955
3.426107208002763,4.064387867694498,13.925028569627099
3.0014290876593885,1.2076081164411012,3.6245501271798872
2.5491434396899497,2.588224736725847,6.59775610806794
1.4184654108009265,3.84802646621163,5.458292442167718
2.191329361692944,4.980167376441315,10.913186998141171
4.969161007928995,2.1281809955114825,10.57527402071117
3.3251533664848476,1.824505278730312,6.066759869739472
2.509660370272469,4.4745191432424285,11.229523369821043
1.5743630687054364,4.891159832208652,7.700461402964781
1.4789674082516537,3.9804436273541293,5.886946395239748
4.79234869158323,2.9567584830225058,14.169817647440523
2.1136313765134274,1.304649737451324,2.7575486204371233
1.3754350421724757,4.545213469191773,6.251645879680691
2.5168273960130683,3.3679725958519797,8.476605698261512
3.833343239295216,3.9191668730947535,15.023511836647545
4.587977688444472,4.094483878914199,18.78540068215392
3.61182657290288,4.003978315640969,14.46167527775897
1.1396927076178844,1.213755475693544,1.3833082644792085
4.776620230567536,3.706408434486599,17.70410551091484
1.3650760337548586,3.1974055447914784,4.364701679389745
2.1981452783813524,2.833511080489708,6.228469002819696
2.3256877864226624,2.893505025067097,6.7293892967511475
2.0473477303750323,4.856087165052286,9.942099035873122
