q1,q2,r,target
1.905261063889271,4.619827268942749,2.082912692507002,2.0287946802200816
4.8819602714575465,1.7344153561558082,3.3704839153625263,0.7453544231456808
2.1774139242749833,1.5525940622558045,3.3723113008392303,0.29726487859918826
1.341925036402277,3.5415892887658362,4.216735678027767,0.26728445049856947
2.4630864551110223,2.2702840387517047,2.456546262271285,0.9266376826679185
2.774762240371423,4.820196212329892,2.793461794122042,1.7139771236649124
1.8845201148318238,2.0066218028770773,3.0437226759332465,0.4081841571395783
3.283051439609194,3.722321508952074,3.3803909572561537,1.069443158925241
3.767209517256617,4.7305830111750415,1.8292328472534174,5.325942332331581
4.478866780025722,2.5562041513237412,1.7715085734705873,3.6481876072657355
4.818774545225731,1.85939205490304,3.5998080259242324,0.6914310789772049
3.162523014546838,4.218501324306452,3.3687300215832767,1.1755997108668932
4.3233168580186065,3.616298091835466,2.6135480432493314,2.2888657093953984
3.217880529329226,4.969822873937588,4.984115169105039,0.6437758609815094
4.600796021442812,2.838083869828862,1.6548571080104315,4.768010520992945
4.501420179281553,4.122129915126012,3.8241467244328464,1.2688261912550112
3.5392673284703355,1.561211795687457,2.3058590658651172,1.039225205487843
3.970720793561509,1.770367815963426,2.1645720367242496,1.5003368240154225
2.984108963821992,4.122130543213906,2.951473491715831,1.4120778622794634
3.981637362048489,1.1576169023821454,4.626805491390852,0.21530993883385058
3.650373218709893,4.046504749809054,2.653797250461759,2.0974028049018845
1.9921019826152349,3.646959690266729,4.286807445517872,0.3953434775387098
1.2676550955458397,4.037258229697313,2.823899353579105,0.6417844747653241
4.0711032423240585,3.5738831210104864,3.3205267501310907,1.3195884177222994
1.9493442865917232,1.8098734048248089,3.426107208002763,0.300562538972558
4.064387867694498,3.0014290876593885,1.2076081164411012,8.365100958145375
2.5491434396899497,2.588224736725847,1.4184654108009265,3.2791309281501353
3.84802646621163,2.191329361692944,4.980167376441315,0.3399834919757602
4.969161007928995,2.1281809955114825,3.3251533664848476,0.9564632043604048
1.824505278730312,2.509660370272469,4.4745191432424285,0.2287006169357345
1.5743630687054364,4.891159832208652,1.4789674082516537,3.5204610291979956
3.9804436273541293,4.79234869158323,2.9567584830225058,2.1819670323942093
2.1136313765134274,1.304649737451324,1.3754350421724757,1.4576156048148663
4.545213469191773,2.5168273960130683,3.3679725958519797,1.0084877317783776
3.833343239295216,3.9191668730947535,4.587977688444472,0.7137216470243036
4.094483878914199,3.61182657290288,4.003978315640969,0.922449544560692
1.1396927076178844,1.213755475693544,4.776620230567536,0.06062860060813592
3.706408434486599,1.3650760337548586,3.1974055447914784,0.4948968276318069
2.1981452783813524,2.833511080489708,2.3256877864226624,1.1515385546672046
2.893505025067097,2.0473477303750323,4.856087165052286,0.2512134600036807
2.192070681843478,4.453818912466369,2.562555401521751,1.486759019219143
4.300002587615145,3.9353472146411317,1.7666982762961303,5.421594129392729
1.601855834212826,4.329598923064103,3.0960532230386906,0.7235261938281004
1.3205559763249233,1.3589908091346379,4.536890597048463,0.08718800110948266
3.5104720062899637,3.3186457416567468,2.2428003000879553,2.316035425547491
4.8112458503138775,1.3568732815191455,3.3864128009689387,0.5692683595480428
1.6889610595504965,4.65194983067525,4.214326909815927,0.44238278311523704
1.9615307006349645,3.2069549444306036,3.3146421351372095,0.5725516555536826
4.556908605845106,1.076609784311969,1.7263337670168708,1.646186781122802
2.524784895083975,3.5048215633347315,4.3676227884137555,0.4638740189742625
2.4992857656429615,2.109077919975095,1.60451210660307,2.0474935583722327
3.08426988177078,2.425206680447536,3.6253450399256146,0.5691181494266875
1.0644836175661396,3.6782559977599982,4.202597783949621,0.22168957942514614
1.9007440658582082,4.631865980018553,1.5667327593187554,3.5866564500303166
3.1086438314136307,2.5335964518998932,4.40964951781367,0.40504219021775956
4.106451664782224,2.3175386131602806,3.7764119848476327,0.6673212576369498
4.4625246214191305,2.4705995653822863,1.6159030718885226,4.222331943344295
1.2504442775697764,1.4114847905953827,4.4108413359703595,0.09071887886569938
