m,g,z,target
1.905261063889271,4.619827268942749,2.082912692507002,18.333749648719312
4.8819602714575465,1.7344153561558082,3.3704839153625263,28.539056407397126
2.1774139242749833,1.5525940622558045,3.3723113008392303,11.400570239678373
1.341925036402277,3.5415892887658362,4.216735678027767,20.040235910060286
2.4630864551110223,2.2702840387517047,2.456546262271285,13.736775451894282
2.774762240371423,4.820196212329892,2.793461794122042,37.3622677956271
1.8845201148318238,2.0066218028770773,3.0437226759332465,11.509895587493368
3.283051439609194,3.722321508952074,3.3803909572561537,41.31031442333267
3.767209517256617,4.7305830111750415,1.8292328472534174,32.598936631851146
4.478866780025722,2.5562041513237412,1.7715085734705873,20.281820709273635
4.818774545225731,1.85939205490304,3.5998080259242324,32.254247887531214
3.162523014546838,4.218501324306452,3.3687300215832767,44.94258944069018
4.3233168580186065,3.616298091835466,2.6135480432493314,40.86126207183961
3.217880529329226,4.969822873937588,4.984115169105039,79.70744637957758
4.600796021442812,2.838083869828862,1.6548571080104315,21.608205632361646
4.501420179281553,4.122129915126012,3.8241467244328464,70.95872043694894
3.5392673284703355,1.561211795687457,2.3058590658651172,12.741130110364418
3.970720793561509,1.770367815963426,2.1645720367242496,15.216154161369383
2.984108963821992,4.122130543213906,2.951473491715831,36.30574103160045
3.981637362048489,1.1576169023821454,4.626805491390852,21.325921421523656
3.650373218709893,4.046504749809054,2.653797250461759,39.19990945106108
1.9921019826152349,3.646959690266729,4.286807445517872,31.14415177308112
1.2676550955458397,4.037258229697313,2.823899353579105,14.452296037171841
4.0711032423240585,3.5738831210104864,3.3205267501310907,48.31249260517133
1.9493442865917232,1.8098734048248089,3.426107208002763,12.087533658768697
4.064387867694498,3.0014290876593885,1.2076081164411012,14.731577562760481
2.5491434396899497,2.588224736725847,1.4184654108009265,9.358688828194913
3.84802646621163,2.191329361692944,4.980167376441315,41.99423239956388
4.969161007928995,2.1281809955114825,3.3251533664848476,35.16440801146749
1.824505278730312,2.509660370272469,4.4745191432424285,20.488324665863892
1.5743630687054364,4.891159832208652,1.4789674082516537,11.388731443484716
3.9804436273541293,4.79234869158323,2.9567584830225058,56.40216035552471
2.1136313765134274,1.304649737451324,1.3754350421724757,3.792829003043587
4.545213469191773,2.5168273960130683,3.3679725958519797,38.52798239276596
3.833343239295216,3.9191668730947535,4.587977688444472,68.92753710862036
4.094483878914199,3.61182657290288,4.003978315640969,59.21309628687611
1.1396927076178844,1.213755475693544,4.776620230567536,6.607538241222655
3.706408434486599,1.3650760337548586,3.1974055447914784,16.177367118507973
2.1981452783813524,2.833511080489708,2.3256877864226624,14.485474287969906
2.893505025067097,2.0473477303750323,4.856087165052286,28.767513520013622
2.192070681843478,4.453818912466369,2.562555401521751,25.018448406723568
4.300002587615145,3.9353472146411317,1.7666982762961303,29.89607389573142
1.601855834212826,4.329598923064103,3.0960532230386906,21.472346763133398
1.3205559763249233,1.3589908091346379,4.536890597048463,8.142010186466205
3.5104720062899637,3.3186457416567468,2.2428003000879553,26.1286525960881
4.8112458503138775,1.3568732815191455,3.3864128009689387,22.10735256846066
1.6889610595504965,4.65194983067525,4.214326909815927,33.111806870619354
1.9615307006349645,3.2069549444306036,3.3146421351372095,20.8508908561219
