pr,V,target
1.905261063889271,4.619827268942749,13.202965526115792
2.082912692507002,4.8819602714575465,15.253045520600779
1.7344153561558082,3.3704839153625263,8.768728590721379
2.1774139242749833,1.5525940622558045,5.070959894853673
3.3723113008392303,1.341925036402277,6.7880834477077405
3.5415892887658362,4.216735678027767,22.400918866289828
2.4630864551110223,2.2702840387517047,8.387858797656106
2.456546262271285,2.774762240371423,10.224497715413875
4.820196212329892,2.793461794122042,20.197550938972995
1.8845201148318238,2.0066218028770773,5.672278725572926
3.0437226759332465,3.283051439609194,14.98904716949069
3.722321508952074,3.3803909572561537,18.874352953292505
3.767209517256617,4.7305830111750415,26.73164601280662
1.8292328472534174,4.478866780025722,12.289335348742798
2.5562041513237412,1.7715085734705873,6.7925063544166715
4.818774545225731,1.85939205490304,13.4399866556426
3.5998080259242324,3.162523014546838,17.07671359490371
4.218501324306452,3.3687300215832767,21.316488085919932
4.3233168580186065,3.616298091835466,23.45160375607918
2.6135480432493314,3.217880529329226,12.615128041257782
4.969822873937588,4.984115169105039,37.1552543606363
4.600796021442812,2.838083869828862,19.586167465244472
1.6548571080104315,4.501420179281553,11.173810769738502
4.122129915126012,3.8241467244328464,23.645444418923677
3.5392673284703355,1.561211795687457,8.28831885194868
2.3058590658651172,3.970720793561509,13.733883809779407
1.770367815963426,2.1645720367242496,5.7481330037265215
2.984108963821992,4.122130543213906,18.45133005607355
2.951473491715831,3.981637362048489,17.6275456915672
1.1576169023821454,4.626805491390852,8.034102361302867
3.650373218709893,4.046504749809054,22.156878852128017
2.653797250461759,1.9921019826152349,7.9299521461555935
3.646959690266729,4.286807445517872,23.450720930608448
1.2676550955458397,4.037258229697313,7.676776450365263
2.823899353579105,4.0711032423240585,17.244578721529063
3.5738831210104864,3.3205267501310907,17.800761757735966
1.9493442865917232,1.8098734048248089,5.292099571724325
3.426107208002763,4.064387867694498,20.887542854440646
3.0014290876593885,1.2076081164411012,5.43682519076983
2.5491434396899497,2.588224736725847,9.89663416210191
1.4184654108009265,3.84802646621163,8.187438663251575
2.191329361692944,4.980167376441315,16.369780497211757
4.969161007928995,2.1281809955114825,15.862911031066755
3.3251533664848476,1.824505278730312,9.100139804609208
2.509660370272469,4.4745191432424285,16.844285054731564
1.5743630687054364,4.891159832208652,11.550692104447172
1.4789674082516537,3.9804436273541293,8.830419592859622
4.79234869158323,2.9567584830225058,21.254726471160783
2.1136313765134274,1.304649737451324,4.136322930655685
1.3754350421724757,4.545213469191773,9.377468819521036
2.5168273960130683,3.3679725958519797,12.714908547392268
3.833343239295216,3.9191668730947535,22.535267754971315
4.587977688444472,4.094483878914199,28.178101023230877
3.61182657290288,4.003978315640969,21.692512916638453
1.1396927076178844,1.213755475693544,2.0749623967188127
4.776620230567536,3.706408434486599,26.556158266372258
1.3650760337548586,3.1974055447914784,6.547052519084617
2.1981452783813524,2.833511080489708,9.342703504229544
2.3256877864226624,2.893505025067097,10.094083945126721
2.0473477303750323,4.856087165052286,14.913148553809686
2.192070681843478,4.453818912466369,14.644628790386296
2.562555401521751,4.300002587615145,16.528492286176046
3.9353472146411317,1.7666982762961303,10.428856711099897
1.601855834212826,4.329598923064103,10.403089942067703
3.0960532230386906,1.3205559763249233,6.132767380055675
1.3589908091346379,4.536890597048463,9.248388935157331
3.5104720062899637,3.3186457416567468,17.475019462319107
2.2428003000879553,4.8112458503138775,16.18599545532134
1.3568732815191455,3.3864128009689387,6.892399574743747
1.6889610595504965,4.65194983067525,11.785443172489533
4.214326909815927,1.9615307006349645,12.39979742417403
3.2069549444306036,3.3146421351372095,15.944861976444432
4.556908605845106,1.076609784311969,7.3590185869023825
1.7263337670168708,2.524784895083975,6.53793212825642
3.5048215633347315,4.3676227884137555,22.961607794017045
2.4992857656429615,2.109077919975095,7.90678263603843
1.60451210660307,3.08426988177078,7.423122547998654
2.425206680447536,3.6253450399256146,13.188316514632408
1.0644836175661396,3.6782559977599982,5.87316487624487
4.202597783949621,1.9007440658582082,11.982094198546646
4.631865980018553,1.5667327593187554,10.885344251503708
3.1086438314136307,2.5335964518998932,11.814073472235098
4.40964951781367,4.106451664782224,27.162018905298115
2.3175386131602806,3.7764119848476327,13.127970891128468
4.4625246214191305,2.4705995653822863,16.537667085278784
1.6159030718885226,1.2504442775697764,3.0308951240256388
1.4114847905953827,4.4108413359703595,9.338753189177371
